date,league,season,country,home_team,away_team,match_result,home__is_shot_on_target_sum_avg,home__Shooting accuracy_avg,home__is_goal_sum_avg,home__is_inside_box_sum_avg,home__CROSS_sum_avg,home__PASS_ASSIST_sum_avg,home__CORNER_sum_avg,home__fast_break_sum_avg,away__is_shot_on_target_sum_avg,away__Shooting accuracy_avg,away__is_goal_sum_avg,away__is_inside_box_sum_avg,away__CROSS_sum_avg,away__PASS_ASSIST_sum_avg,away__CORNER_sum_avg,away__fast_break_sum_avg,goal_diff_avg,shot_on_target_diff_avg,shooting_accuracy_diff_avg,inside_box_diff_avg,cross_diff_avg,pass_assist_diff_avg,corner_diff_avg,fast_break_diff_avg
2011-08-27,F1,2012,france,Lorient,AS Nancy Lorraine,1.0,5.0,0.5936507936507937,0.6666666666666666,6.0,2.0,8.0,0.6666666666666666,0.0,2.333333333333333,0.3999999999999999,0.6666666666666666,3.6666666666666665,1.6666666666666667,3.333333333333333,0.6666666666666666,0.3333333333333333,0.0,2.666666666666667,0.19365079365079374,2.3333333333333335,0.33333333333333326,4.666666666666667,0.0,-0.3333333333333333
2011-08-27,D1,2012,germany,Hamburg SV,FC Cologne,-1.0,2.333333333333333,0.5,1.0,4.0,1.6666666666666667,2.333333333333333,1.3333333333333333,0.3333333333333333,3.0,0.3999999999999999,0.6666666666666666,4.333333333333333,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.33333333333333337,-0.666666666666667,0.10000000000000009,-0.33333333333333304,0.6666666666666667,-0.3333333333333335,0.6666666666666666,0.0
2011-08-27,F1,2012,france,Evian Thonon Gaillard,Dijon FCO,-1.0,3.333333333333333,0.3624338624338623,1.3333333333333333,4.666666666666667,0.6666666666666666,6.0,1.3333333333333333,0.0,3.333333333333333,0.45,1.0,3.0,2.333333333333333,4.666666666666667,0.6666666666666666,0.6666666666666666,0.33333333333333326,0.0,-0.08756613756613774,1.666666666666667,-1.6666666666666665,1.333333333333333,0.6666666666666666,-0.6666666666666666
2011-08-27,F1,2012,france,AJ Auxerre,AC Ajaccio,1.0,5.0,0.4515151515151515,1.3333333333333333,5.333333333333333,2.0,5.333333333333333,1.0,0.0,3.333333333333333,0.4205128205128205,0.6666666666666666,5.333333333333333,3.333333333333333,4.0,1.3333333333333333,0.0,0.6666666666666666,1.666666666666667,0.031002331002330963,0.0,-1.333333333333333,1.333333333333333,-0.33333333333333326,0.0
2011-08-27,D1,2012,germany,SC Freiburg,VfL Wolfsburg,1.0,5.666666666666667,0.6373737373737374,2.0,6.0,2.333333333333333,6.0,0.0,0.6666666666666666,4.0,0.4313186813186813,1.3333333333333333,6.0,2.0,5.333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.666666666666667,0.20605505605505609,0.0,0.33333333333333304,0.666666666666667,-0.3333333333333333,0.3333333333333333
2011-08-27,D1,2012,germany,TSG Hoffenheim,Werder Bremen,-1.0,4.333333333333333,0.4848484848484848,1.3333333333333333,4.333333333333333,1.6666666666666667,8.333333333333334,0.6666666666666666,0.0,4.666666666666667,0.3976034858387798,2.333333333333333,9.333333333333334,4.333333333333333,7.333333333333333,1.6666666666666667,1.6666666666666667,-0.9999999999999998,-0.3333333333333339,0.087244999009705,-5.000000000000001,-2.666666666666666,1.0000000000000009,-1.0,-1.6666666666666667
2011-08-27,D1,2012,germany,Kaiserslautern,Bayern Munich,-1.0,4.0,0.4967032967032966,0.6666666666666666,6.333333333333333,4.0,4.0,0.6666666666666666,0.6666666666666666,7.666666666666667,0.5211538461538462,2.0,8.666666666666666,3.6666666666666665,9.333333333333334,0.6666666666666666,0.3333333333333333,-1.3333333333333335,-3.666666666666667,-0.024450549450549586,-2.333333333333333,0.3333333333333335,-5.333333333333334,0.0,0.3333333333333333
2011-08-27,D1,2012,germany,Bayer Leverkusen,Borussia Dortmund,0.0,3.6666666666666665,0.3873015873015872,0.6666666666666666,4.666666666666667,1.6666666666666667,5.666666666666667,1.3333333333333333,0.0,5.0,0.457070707070707,1.6666666666666667,9.0,2.333333333333333,7.0,0.3333333333333333,0.3333333333333333,-1.0,-1.3333333333333335,-0.06976911976911981,-4.333333333333333,-0.6666666666666663,-1.333333333333333,1.0,-0.3333333333333333
2011-08-27,F1,2012,france,Nice,Brest,0.0,3.5,0.3722222222222222,0.5,6.5,3.5,5.0,1.5,0.0,6.5,0.612781954887218,1.0,9.0,3.0,7.5,0.5,0.0,-0.5,-3.0,-0.2405597326649958,-2.5,0.5,-2.5,1.0,0.0
2011-08-28,D1,2012,germany,Hannover 96,Mainz,0.0,4.333333333333333,0.7538461538461538,1.6666666666666667,4.0,1.0,2.6666666666666665,0.3333333333333333,0.0,5.666666666666667,0.5663299663299664,2.0,6.0,2.333333333333333,8.0,0.6666666666666666,0.6666666666666666,-0.33333333333333326,-1.333333333333334,0.18751618751618748,-2.0,-1.333333333333333,-5.333333333333334,-0.3333333333333333,-0.6666666666666666
2011-08-28,F1,2012,france,Sochaux,St Etienne,1.0,4.666666666666667,0.5301282051282051,1.6666666666666667,6.0,3.333333333333333,3.333333333333333,1.6666666666666667,0.0,2.0,0.2045454545454545,1.0,5.666666666666667,2.333333333333333,4.333333333333333,0.3333333333333333,0.0,0.6666666666666667,2.666666666666667,0.32558275058275066,0.33333333333333304,1.0,-1.0,1.3333333333333335,0.0
2011-08-28,D1,2012,germany,Schalke 04,Borussia Monchengladbach,1.0,7.0,0.5285947712418301,3.0,9.333333333333334,5.333333333333333,5.666666666666667,1.6666666666666667,0.0,5.0,0.5277777777777778,2.0,6.0,0.3333333333333333,7.333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,8.169934640522847E-4,3.333333333333334,5.0,-1.666666666666666,1.0,-0.3333333333333333
2011-08-28,F1,2012,france,Toulouse,Paris Saint-Germain,-1.0,7.5,0.6515151515151515,2.0,4.5,2.5,6.5,0.5,0.5,3.6666666666666665,0.4358974358974358,1.0,4.666666666666667,1.0,5.666666666666667,1.0,0.3333333333333333,1.0,3.8333333333333335,0.2156177156177157,-0.16666666666666696,1.5,0.833333333333333,-0.5,0.16666666666666669
2011-08-28,F1,2012,france,Stade Rennes,Caen,1.0,4.0,0.4166666666666667,2.0,6.0,1.3333333333333333,6.333333333333333,0.6666666666666666,0.3333333333333333,3.6666666666666665,0.3982905982905982,1.3333333333333333,4.666666666666667,1.3333333333333333,6.333333333333333,0.0,0.0,0.6666666666666667,0.3333333333333335,0.018376068376068477,1.333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333
2011-08-28,F1,2012,france,Lille,Marseille,1.0,7.0,0.491273432449903,1.0,9.0,3.333333333333333,9.0,2.0,0.3333333333333333,4.666666666666667,0.3348873348873349,1.3333333333333333,10.333333333333334,3.0,7.0,2.0,0.0,-0.33333333333333326,2.333333333333333,0.1563860975625681,-1.333333333333334,0.33333333333333304,2.0,0.0,0.3333333333333333
2011-09-09,D1,2012,germany,FC Augsburg,Bayer Leverkusen,-1.0,4.0,0.4037878787878787,0.75,5.5,2.5,5.5,0.5,0.75,4.25,0.4404761904761904,0.5,5.5,1.75,6.5,1.25,0.0,0.25,-0.25,-0.036688311688311714,0.0,0.75,-1.0,-0.75,0.75
2011-09-10,D1,2012,germany,Borussia Monchengladbach,Kaiserslautern,1.0,5.0,0.5347222222222222,1.5,5.75,1.25,7.0,1.0,0.25,3.5,0.5391941391941392,0.5,5.0,3.0,4.25,0.5,0.5,1.0,1.5,-0.004471916971916956,0.75,-1.75,2.75,0.5,-0.25
2011-09-10,F1,2012,france,Dijon FCO,Lyon,-1.0,3.25,0.4625,1.0,3.0,2.5,4.0,0.5,0.75,7.0,0.5555555555555555,2.0,9.666666666666666,3.0,8.0,1.6666666666666667,0.6666666666666666,-1.0,-3.75,-0.09305555555555545,-6.666666666666666,-0.5,-4.0,-1.1666666666666667,0.08333333333333337
2011-09-10,SP1,2012,spain,Valencia,Atletico Madrid,1.0,11.0,0.5789473684210527,4.0,14.0,9.0,9.0,4.0,0.0,8.0,0.4,0.0,14.0,5.0,19.0,2.0,2.0,4.0,3.0,0.17894736842105263,0.0,4.0,-10.0,2.0,-2.0
2011-09-10,F1,2012,france,St Etienne,Lille,-1.0,1.75,0.2034090909090909,1.0,4.75,2.25,4.0,0.25,0.0,6.5,0.6184550743374273,1.5,8.0,2.75,7.25,1.75,0.25,-0.5,-4.75,-0.41504598342833643,-3.25,-0.5,-3.25,-1.5,-0.25
2011-09-10,F1,2012,france,Caen,Toulouse,-1.0,4.5,0.4333333333333333,1.5,6.5,2.0,5.75,0.25,0.0,5.666666666666667,0.5084175084175083,1.6666666666666667,4.666666666666667,2.333333333333333,6.666666666666667,1.0,0.3333333333333333,-0.16666666666666674,-1.166666666666667,-0.07508417508417503,1.833333333333333,-0.33333333333333304,-0.916666666666667,-0.75,-0.3333333333333333
2011-09-10,F1,2012,france,Sochaux,Lorient,0.0,4.75,0.5364850427350427,1.75,6.25,3.25,4.0,1.25,0.0,5.5,0.5481792717086835,1.0,7.25,2.5,8.75,1.5,0.0,0.75,-0.75,-0.011694228973640808,-1.0,0.75,-4.75,-0.25,0.0
2011-09-10,F1,2012,france,AC Ajaccio,Valenciennes,1.0,2.75,0.4403846153846154,0.75,4.5,2.5,3.75,1.0,0.0,4.75,0.5078914141414141,0.5,6.25,3.75,4.0,0.75,0.0,0.25,-2.0,-0.06750679875679877,-1.75,-1.25,-0.25,0.25,0.0
2011-09-10,D1,2012,germany,Borussia Dortmund,Hertha Berlin,-1.0,4.75,0.4428030303030302,1.25,9.0,2.0,7.5,0.25,0.25,3.75,0.3229166666666667,1.0,6.25,2.75,4.25,2.25,0.25,0.25,1.0,0.11988636363636351,2.75,-0.75,3.25,-2.0,0.0
2011-09-10,F1,2012,france,Marseille,Stade Rennes,-1.0,4.5,0.3225940725940726,1.5,10.0,3.25,7.0,2.0,0.25,5.0,0.4458333333333333,2.25,7.0,1.75,6.75,0.75,0.5,-0.75,-0.5,-0.12323926073926073,3.0,1.5,0.25,1.25,-0.25
2011-09-10,D1,2012,germany,Werder Bremen,Hamburg SV,1.0,4.5,0.4232026143790849,2.25,8.5,4.25,6.25,1.5,1.25,3.5,0.5340909090909091,1.5,4.75,1.75,3.25,1.25,0.25,0.75,1.0,-0.11088829471182415,3.75,2.5,3.0,0.25,1.0
